7471	Charting the Evolution and Future of Conversational Agents: A Research Agenda Along Five Waves and New Frontiers.
7489	MarkBot - A Language Model-Driven Chatbot for Interactive Marketing in Post-Modern World.
7544	On the Interplay of Data and Cognitive Bias in Crisis Information Management.
7750	Usage Intention of Social Robots for Domestic Purpose: From Security, Privacy, and Legal Perspectives.
7795	Exploring the Attractiveness of Service Robots in the Hospitality Industry: Analysis of Online Reviews.
7836	Robot Pets as "Serious Toys"- Activating Social and Emotional Experiences of Elderly People.
8031	Social Media Platforms and User Engagement: A Multi-Platform Study on One-way Firm Sustainability Communication.
8057	Enablers and Inhibitors of AI-Powered Voice Assistants: A Dual-Factor Approach by Integrating the Status Quo Bias and Technology Acceptance Model.
8065	The Role of Mindfulness in Mitigating the Negative Consequences of Technostress.
8517	Assessing the Implementation of AI Integrated CRM System for B2C Relationship Management: Integrating Contingency Theory and Dynamic Capability View Theory.
10083	SAR ship detection based on improved YOLOv5 and BiFPN.
12058	Significance Tests of Feature Relevance for a Black-Box Learner.
12076	An Effective Video Transformer With Synchronized Spatiotemporal and Spatial Self-Attention for Action Recognition.
12095	Autoencoder in Autoencoder Networks.
12126	Game-Based Backstepping Design for Strict-Feedback Nonlinear Multi-Agent Systems Based on Reinforcement Learning.
12240	Enhanced Security and Privacy via Fragmented Federated Learning.
12257	Data-Efficient Off-Policy Learning for Distributed Optimal Tracking Control of HMAS With Unidentified Exosystem Dynamics.
12436	A New Graph Autoencoder-Based Consensus-Guided Model for scRNA-seq Cell Type Detection.
12568	Graph Information Aggregation Cross-Domain Few-Shot Learning for Hyperspectral Image Classification.
12587	Code-Aligned Autoencoders for Unsupervised Change Detection in Multimodal Remote Sensing Images.
12769	Fusing Higher-Order Features in Graph Neural Networks for Skeleton-Based Action Recognition.
12780	Noise-Tolerant Discrimination Indexes for Fuzzy Î³ Covering and Feature Subset Selection.
12857	Efficient Quantum Image Classification Using Single Qubit Encoding.
12975	Hamiltonian-Driven Adaptive Dynamic Programming With Efficient Experience Replay.
13055	Local Sample-Weighted Multiple Kernel Clustering With Consensus Discriminative Graph.
13440	Rethinking Prior-Guided Face Super-Resolution: A New Paradigm With Facial Component Prior.
13488	A Prediction-Sampling-Based Multilayer-Structured Latent Factor Model for Accurate Representation to High-Dimensional and Sparse Data.
13493	Sequential Label Enhancement.
13544	SwinPA-Net: Swin Transformer-Based Multiscale Feature Pyramid Aggregation Network for Medical Image Segmentation.
13681	Time Interval-Enhanced Graph Neural Network for Shared-Account Cross-Domain Sequential Recommendation.
13683	An Integrated Multitasking Intelligent Bearing Fault Diagnosis Scheme Based on Representation Learning Under Imbalanced Sample Condition.
13718	M3W: Multistep Three-Way Clustering.
14243	A Synthetic Minority Oversampling Technique Based on Gaussian Mixture Model Filtering for Imbalanced Data Classification.
14537	Causal Incremental Graph Convolution for Recommender System Retraining.
14662	Self-Supervised Simple Siamese Framework for Fault Diagnosis of Rotating Machinery With Unlabeled Samples.
14668	Slow Down to Go Better: A Survey on Slow Feature Analysis.
14698	Error-Triggered Adaptive Sparse Identification for Predictive Control and Its Application to Multiple Operating Conditions Processes.
14709	Analyzing Heterogeneous Networks With Missing Attributes by Unsupervised Contrastive Learning.
14763	A Reinforcement Learning Approach for Flexible Job Shop Scheduling Problem With Crane Transportation and Setup Times.
15013	Interpolation-Based Contrastive Learning for Few-Label Semi-Supervised Learning.
15116	Hybrid Adjusting Variables-Dependent Event-Based Finite-Time State Estimation for Two-Time-Scale Markov Jump Complex Networks.
15217	Self-Supervised Learning for Electroencephalography.
15360	Disturbance Observer-Based Adaptive Intelligent Control of Marine Vessel With Position and Heading Constraint Condition Related to Desired Output.
15439	Resilient Optimal Defensive Strategy of Micro-Grids System via Distributed Deep Reinforcement Learning Approach Against FDI Attack.
15443	Enhanced Spatial Feature Learning for Weakly Supervised Object Detection.
15456	Representation-Learning-Based CNN for Intelligent Attack Localization and Recovery of Cyber-Physical Power Systems.
15494	Hawk: Rapid Android Malware Detection Through Heterogeneous Graph Attention Networks.
15522	Imitation Learning: Progress, Taxonomies and Challenges.
15534	RPCA-AENet: Clutter Suppression and Simultaneous Stationary Scene and Moving Targets Imaging in the Presence of Motion Errors.
15545	Adaptive NN Controller of Nonlinear State-Dependent Constrained Systems With Unknown Control Direction.
15618	Improved Soft Actor-Critic: Mixing Prioritized Off-Policy Samples With On-Policy Experiences.
15659	Fractional Fourier Image Transformer for Multimodal Remote Sensing Data Classification.
15692	Spartus: A 9.4 TOp/s FPGA-Based LSTM Accelerator Exploiting Spatio-Temporal Sparsity.
15804	3-D Convolutional Neural Networks for RGB-D Salient Object Detection and Beyond.
16034	Neural-Network-Based Adaptive Event-Triggered Asymptotically Consensus Tracking Control for Nonlinear Nonstrict-Feedback MASs: An Improved Dynamic Surface Approach.
16055	Mixed-Delay-Based Augmented Functional for Sampled-Data Synchronization of Delayed Neural Networks With Communication Delay.
16064	Development of an Adaptive Artifact Subspace Reconstruction Based on Hebbian/Anti-Hebbian Learning Networks for Enhancing BCI Performance.
16079	Transfer Adaptation Learning: A Decade Survey.
16082	Sequential Fusion Estimation for Multirate Complex Networks With Uniform Quantization: A Zonotopic Set-Membership Approach.
16109	A Novel Local-Global Graph Convolutional Method for Point Cloud Semantic Segmentation.
16122	Intermittent Sampled-Data Control for Local Stabilization of Neural Networks Subject to Actuator Saturation: A Work-Interval-Dependent Functional Approach.
16144	An Efficient and Adaptive Granular-Ball Generation Method in Classification Problem.
16221	Multi-View Graph Learning by Joint Modeling of Consistency and Inconsistency.
16562	Supplementary Control for Quantized Discrete-Time Nonlinear Systems Under Goal Representation Heuristic Dynamic Programming.
16598	NeRP: Implicit Neural Representation Learning With Prior Embedding for Sparsely Sampled Image Reconstruction.
16652	Event-Triggered Exponential Synchronization of the Switched Neural Networks With Frequent Asynchronism.
16658	Neuromorphic Camera Denoising Using Graph Neural Network-Driven Transformers.
16772	Variational Attention-Based Interpretable Transformer Network for Rotary Machine Fault Diagnosis.
16897	Proportional-Integral Observer-Based State Estimation for Markov Memristive Neural Networks With Sensor Saturations.
16941	Exponential Synchronization of Memristor-Based Competitive Neural Networks With Reaction- Diffusions and Infinite Distributed Delays.
16960	Targeted-BEHRT: Deep Learning for Observational Causal Inference on Longitudinal Electronic Health Records.
17001	Prioritized Experience-Based Reinforcement Learning With Human Guidance for Autonomous Driving.
17052	Debiased Graph Neural Networks With Agnostic Label Selection Bias.
17074	Data-Driven Inverse Reinforcement Learning Control for Linear Multiplayer Games.
17075	Context-Aware Attentive Multilevel Feature Fusion for Named Entity Recognition.
17139	Event-Triggered Distributed Data-Driven Iterative Learning Bipartite Formation Control for Unknown Nonlinear Multiagent Systems.
17226	Contrastive Learning-Based Dual Dynamic GCN for SAR Image Scene Classification.
17247	Self-Supervised Autoregressive Domain Adaptation for Time Series Data.
17259	Synchronization of Stochastic Neural Networks Using Looped-Lyapunov Functional and Its Application to Secure Communication.
17267	TraverseNet: Unifying Space and Time in Message Passing for Traffic Forecasting.
17271	Prefixed-Time Local Intermittent Sampling Synchronization of Stochastic Multicoupling Delay Reaction-Diffusion Dynamic Networks.
17290	Semi-Supervised Multiscale Dynamic Graph Convolution Network for Hyperspectral Image Classification.
17291	Balancing Transferability and Discriminability for Unsupervised Domain Adaptation.
17419	DRLIE: Flexible Low-Light Image Enhancement via Disentangled Representations.
17455	Single-Image 3-D Reconstruction: Rethinking Point Cloud Deformation.
17476	Multi-View Subspace Clustering via Structured Multi-Pathway Network.
17509	Cooperative Output Regulation for Linear Multiagent Systems via Distributed Fixed-Time Event-Triggered Control.
17629	Robust Self-Ensembling Network for Hyperspectral Image Classification.
17680	DyGCN: Efficient Dynamic Graph Embedding With Graph Convolutional Network.
